epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2211.93,1.2289,0.80779,1.53447,0.95773,0.90676,0.94423,0.66029,1.31846,0.81456,1.79362,0.0015842,0.0015842,0.0015842
44,2263.66,1.24798,0.8214,1.55176,0.92481,0.84,0.93765,0.66472,1.10297,0.69139,1.50964,0.0015743,0.0015743,0.0015743
45,2315.43,1.26146,0.82592,1.55223,0.94021,0.88,0.89447,0.64696,1.34494,0.75351,1.6567,0.0015644,0.0015644,0.0015644
46,2367.13,1.24103,0.83966,1.56738,1,0.91147,0.92911,0.61844,1.26495,0.83054,1.69746,0.0015545,0.0015545,0.0015545
47,2418.84,1.22762,0.82095,1.53781,0.98292,0.92,0.92639,0.64395,1.15441,0.7012,1.46931,0.0015446,0.0015446,0.0015446
48,2470.52,1.2063,0.79213,1.52904,0.99637,0.92,0.92311,0.6101,1.21593,0.77372,1.47876,0.0015347,0.0015347,0.0015347
49,2522.27,1.2566,0.82956,1.56256,0.91931,0.91175,0.92267,0.69962,1.07181,0.71062,1.43196,0.0015248,0.0015248,0.0015248
50,2574.02,1.2034,0.79654,1.51095,1,0.91919,0.94051,0.67004,1.08816,0.68221,1.41689,0.0015149,0.0015149,0.0015149
51,2625.71,1.20797,0.79832,1.51605,1,0.91284,0.94021,0.66586,1.11835,0.67168,1.45085,0.001505,0.001505,0.001505
52,2677.39,1.16941,0.74882,1.47373,0.98762,0.92,0.92166,0.61441,1.15014,0.73876,1.51784,0.0014951,0.0014951,0.0014951
53,2729.45,1.16138,0.7725,1.47025,0.97777,0.92,0.92571,0.59456,1.22477,0.72363,1.55713,0.0014852,0.0014852,0.0014852
54,2781.15,1.13052,0.72924,1.44902,0.99863,0.92,0.91889,0.64478,1.05607,0.75619,1.37654,0.0014753,0.0014753,0.0014753
55,2832.81,1.18694,0.75566,1.48666,0.98902,0.92,0.9335,0.64525,1.07892,0.70251,1.45132,0.0014654,0.0014654,0.0014654
56,2884.45,1.17312,0.76692,1.48283,0.95384,0.92,0.93408,0.6543,1.10411,0.65879,1.43681,0.0014555,0.0014555,0.0014555
57,2936.14,1.13711,0.74678,1.44498,0.95829,0.92,0.95384,0.61877,1.24563,0.6717,1.58103,0.0014456,0.0014456,0.0014456
58,2988.47,1.15701,0.74326,1.45094,0.98452,0.92,0.93951,0.64362,1.11871,0.79842,1.54554,0.0014357,0.0014357,0.0014357
59,3040.9,1.14979,0.72096,1.42436,0.99443,0.92,0.94071,0.61394,1.23087,0.71826,1.6094,0.0014258,0.0014258,0.0014258
60,3092.99,1.12567,0.73246,1.46172,0.99651,0.92,0.92853,0.67443,1.08022,0.72115,1.61332,0.0014159,0.0014159,0.0014159
61,3145.08,1.09618,0.68935,1.42722,0.99073,0.92,0.93663,0.69437,1.1008,0.76464,1.45949,0.001406,0.001406,0.001406
62,3196.79,1.11653,0.71078,1.42004,0.95822,0.92,0.93041,0.66098,1.12187,0.73176,1.46803,0.0013961,0.0013961,0.0013961
63,3247.79,1.09039,0.70209,1.40065,1,0.91491,0.9307,0.65231,1.10306,0.69126,1.40324,0.0013862,0.0013862,0.0013862
64,3298.66,1.12238,0.69684,1.40008,0.99515,0.92,0.94636,0.65911,1.00329,0.59032,1.35472,0.0013763,0.0013763,0.0013763
65,3349.54,1.05219,0.69312,1.37109,0.99105,0.92,0.92079,0.6762,1.242,0.65096,1.58229,0.0013664,0.0013664,0.0013664
66,3400.41,1.10528,0.70348,1.41508,1,0.87609,0.96017,0.66281,1.06114,0.68413,1.43665,0.0013565,0.0013565,0.0013565
67,3451.31,1.13057,0.71659,1.42346,0.98731,0.92,0.9381,0.64467,1.0923,0.71604,1.5604,0.0013466,0.0013466,0.0013466
68,3502.16,1.08446,0.70475,1.37559,0.97373,0.88,0.93839,0.69202,1.07217,0.62413,1.40073,0.0013367,0.0013367,0.0013367
69,3553.04,1.06634,0.67111,1.38626,0.99218,0.88,0.92819,0.68998,1.07308,0.70296,1.43148,0.0013268,0.0013268,0.0013268
70,3603.9,1.09777,0.69705,1.42718,0.98353,0.92,0.93389,0.61763,1.19497,0.703,1.5621,0.0013169,0.0013169,0.0013169
71,3654.79,1.10497,0.68035,1.40065,1,0.91504,0.91935,0.62922,1.24544,0.72359,1.46176,0.001307,0.001307,0.001307
72,3705.62,1.06696,0.68978,1.36848,0.9963,0.92,0.93335,0.71953,1.07725,0.631,1.37067,0.0012971,0.0012971,0.0012971
73,3756.56,1.07683,0.68522,1.3864,0.99617,0.92,0.96505,0.66856,1.14934,0.61876,1.4388,0.0012872,0.0012872,0.0012872
74,3807.46,1.06988,0.66091,1.36786,0.99637,0.92,0.93588,0.69555,1.06494,0.66114,1.45281,0.0012773,0.0012773,0.0012773
75,3858.36,1.05432,0.66387,1.34723,1,0.87833,0.92491,0.68905,0.95268,0.67483,1.46868,0.0012674,0.0012674,0.0012674
76,3909.23,1.05088,0.66417,1.37189,0.99997,0.92,0.92562,0.72637,1.10236,0.72271,1.58738,0.0012575,0.0012575,0.0012575
77,3960.11,1.04375,0.67671,1.37082,1,0.90724,0.96269,0.68565,1.09456,0.63516,1.40109,0.0012476,0.0012476,0.0012476
78,4010.99,1.07845,0.66423,1.38035,0.95105,0.92,0.96263,0.72252,1.15613,0.6204,1.57577,0.0012377,0.0012377,0.0012377
79,4061.98,1.05804,0.64654,1.3649,1,0.91192,0.94087,0.69112,1.08886,0.60871,1.41728,0.0012278,0.0012278,0.0012278
80,4113.23,1.06818,0.6615,1.37147,0.9977,0.92,0.95326,0.65546,1.20634,0.6705,1.52243,0.0012179,0.0012179,0.0012179
81,4164.14,1.01824,0.64576,1.34823,0.99965,0.92,0.93429,0.6882,1.16379,0.65606,1.55075,0.001208,0.001208,0.001208
82,4215.05,1.01874,0.6373,1.32311,1,0.91884,0.94065,0.70018,0.99559,0.63426,1.33926,0.0011981,0.0011981,0.0011981
83,4265.92,1.0155,0.64352,1.34645,0.99303,0.92,0.96421,0.71646,1.08174,0.62433,1.42961,0.0011882,0.0011882,0.0011882
84,4316.83,1.03512,0.65344,1.36106,0.99648,0.92,0.94314,0.72297,1.04244,0.55952,1.40086,0.0011783,0.0011783,0.0011783
85,4367.7,1.01494,0.6327,1.3337,0.99619,0.92,0.94035,0.67784,1.03378,0.63572,1.38253,0.0011684,0.0011684,0.0011684
