epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6198.81,1.11217,0.65575,1.29675,0.94848,0.83613,0.92985,0.6555,1.21631,0.73881,1.44974,0.000569094,0.000569094,0.000569094
43,6343.14,1.11825,0.65361,1.31118,0.93338,0.86156,0.93355,0.64529,1.26213,0.73353,1.49173,0.000565559,0.000565559,0.000565559
44,6487.41,1.11772,0.65151,1.30521,0.94989,0.8468,0.93388,0.65836,1.21055,0.72404,1.43953,0.000562025,0.000562025,0.000562025
45,6631.89,1.11121,0.64989,1.30285,0.93426,0.86057,0.93463,0.66348,1.21577,0.70962,1.45126,0.000558491,0.000558491,0.000558491
46,6776.41,1.08803,0.63265,1.28671,0.93291,0.8598,0.93667,0.65067,1.24942,0.7146,1.47335,0.000554956,0.000554956,0.000554956
47,6920.69,1.10045,0.63966,1.29584,0.95344,0.85386,0.93744,0.66244,1.20977,0.70079,1.44528,0.000551422,0.000551422,0.000551422
48,7065.06,1.07735,0.61709,1.27237,0.93813,0.86604,0.93208,0.65789,1.22984,0.69838,1.45872,0.000547888,0.000547888,0.000547888
49,7209.29,1.06455,0.60778,1.2724,0.93295,0.86472,0.93954,0.65979,1.21873,0.69563,1.44853,0.000544354,0.000544354,0.000544354
50,7353.71,1.06619,0.61583,1.27438,0.94604,0.8597,0.93644,0.66217,1.20775,0.69469,1.44636,0.000540819,0.000540819,0.000540819
51,7497.98,1.06556,0.61112,1.26919,0.93682,0.8577,0.93372,0.66707,1.20524,0.698,1.44069,0.000537285,0.000537285,0.000537285
52,7642.46,1.07458,0.61214,1.26941,0.94597,0.86018,0.93887,0.67155,1.19318,0.68588,1.43471,0.000533751,0.000533751,0.000533751
53,7786.84,1.04676,0.59226,1.25575,0.95284,0.86341,0.94015,0.67502,1.18318,0.68026,1.42221,0.000530216,0.000530216,0.000530216
54,7931.23,1.04894,0.60045,1.25853,0.95066,0.8746,0.94218,0.6664,1.21614,0.68421,1.44541,0.000526682,0.000526682,0.000526682
55,8075.43,1.05346,0.60262,1.25904,0.94307,0.87016,0.94196,0.66834,1.20284,0.68027,1.44457,0.000523148,0.000523148,0.000523148
56,8219.78,1.0656,0.59584,1.27019,0.94615,0.87203,0.93936,0.66244,1.22122,0.67219,1.44366,0.000519613,0.000519613,0.000519613
57,8366.76,1.05083,0.59853,1.25555,0.95202,0.86595,0.94242,0.68087,1.18881,0.66536,1.4334,0.000516079,0.000516079,0.000516079
58,8517.14,1.04182,0.58808,1.25104,0.9505,0.88275,0.9487,0.6775,1.19103,0.65213,1.42615,0.000512545,0.000512545,0.000512545
59,8667.69,1.03541,0.57812,1.23981,0.94762,0.87635,0.94698,0.68109,1.18165,0.65644,1.42251,0.000509011,0.000509011,0.000509011
60,8817.92,1.02276,0.57588,1.23887,0.95198,0.8751,0.94361,0.67377,1.19237,0.6545,1.42319,0.000505476,0.000505476,0.000505476
61,8969.16,1.02315,0.57885,1.23972,0.94735,0.87696,0.94696,0.68234,1.16977,0.65236,1.41123,0.000501942,0.000501942,0.000501942
62,9119.7,1.03279,0.57864,1.26103,0.94468,0.88185,0.94752,0.68188,1.17378,0.6452,1.42272,0.000498408,0.000498408,0.000498408
63,9272.09,1.00287,0.55806,1.21835,0.94281,0.8787,0.94429,0.67561,1.20192,0.64966,1.43423,0.000494873,0.000494873,0.000494873
64,9424.68,0.99938,0.55413,1.2198,0.94964,0.88227,0.94747,0.68369,1.18082,0.63876,1.42382,0.000491339,0.000491339,0.000491339
65,9575.08,1.00464,0.56141,1.22267,0.9456,0.89043,0.95171,0.67656,1.20065,0.63686,1.4359,0.000487805,0.000487805,0.000487805
66,9724.43,1.01174,0.56059,1.24586,0.95761,0.87491,0.94591,0.68289,1.17819,0.6352,1.42224,0.000484271,0.000484271,0.000484271
67,9874.3,1.01237,0.55701,1.21858,0.94004,0.89311,0.94387,0.68364,1.18644,0.63556,1.43133,0.000480736,0.000480736,0.000480736
68,10025.1,1.00506,0.55584,1.23426,0.94934,0.88616,0.94817,0.67884,1.19253,0.64614,1.43095,0.000477202,0.000477202,0.000477202
69,10176.4,0.99663,0.54993,1.22985,0.95017,0.88277,0.95056,0.68133,1.18994,0.62881,1.41942,0.000473668,0.000473668,0.000473668
70,10325.8,0.98569,0.54952,1.21179,0.93809,0.88628,0.94905,0.68354,1.18167,0.63556,1.42833,0.000470133,0.000470133,0.000470133
71,10475.8,0.96943,0.541,1.21004,0.95289,0.87876,0.94749,0.68434,1.17368,0.62975,1.42548,0.000466599,0.000466599,0.000466599
72,10625.2,0.99187,0.54285,1.22056,0.9539,0.88037,0.95184,0.68277,1.18353,0.62736,1.42712,0.000463065,0.000463065,0.000463065
73,10775,0.98311,0.5363,1.21406,0.95216,0.88223,0.94682,0.68896,1.17475,0.62147,1.43064,0.00045953,0.00045953,0.00045953
74,10924.9,0.98161,0.54212,1.20078,0.96097,0.87403,0.94399,0.68434,1.17964,0.62632,1.42445,0.000455996,0.000455996,0.000455996
75,11075.4,0.96682,0.53785,1.19612,0.95119,0.88335,0.94866,0.69372,1.16119,0.61659,1.42181,0.000452462,0.000452462,0.000452462
76,11225.3,0.96466,0.54453,1.19909,0.95084,0.88428,0.94559,0.68806,1.16582,0.62559,1.423,0.000448928,0.000448928,0.000448928
77,11375.2,0.95587,0.52987,1.19308,0.95233,0.88981,0.95342,0.69067,1.16887,0.6138,1.42536,0.000445393,0.000445393,0.000445393
78,11524.5,0.95624,0.52601,1.19463,0.94705,0.88684,0.95027,0.69463,1.16574,0.60658,1.42363,0.000441859,0.000441859,0.000441859
79,11674.5,0.95683,0.53011,1.19196,0.96188,0.88161,0.94991,0.69218,1.16046,0.62142,1.41981,0.000438325,0.000438325,0.000438325
80,11823.7,0.94723,0.5231,1.19367,0.9617,0.88247,0.95224,0.68875,1.18304,0.619,1.43784,0.00043479,0.00043479,0.00043479
81,11971.5,0.94335,0.52166,1.18975,0.95512,0.88801,0.95557,0.69726,1.15515,0.60476,1.41765,0.000431256,0.000431256,0.000431256
82,12115.7,0.94102,0.51112,1.18018,0.94868,0.89324,0.95564,0.69833,1.1621,0.601,1.42303,0.000427722,0.000427722,0.000427722
83,12264.5,0.93061,0.5068,1.17515,0.94783,0.89561,0.95602,0.69713,1.15765,0.59761,1.41641,0.000424187,0.000424187,0.000424187
84,12416.7,0.94395,0.52151,1.19495,0.95208,0.89048,0.95022,0.69101,1.17869,0.60721,1.44193,0.000420653,0.000420653,0.000420653
85,12568.3,0.94554,0.51617,1.17865,0.9657,0.88005,0.95249,0.69441,1.16775,0.61138,1.4313,0.000417119,0.000417119,0.000417119
86,12720.3,0.93152,0.51091,1.1736,0.95578,0.88504,0.95088,0.69863,1.14966,0.60309,1.41842,0.000413584,0.000413584,0.000413584
87,12871.6,0.92327,0.50882,1.1687,0.96149,0.88278,0.9532,0.69694,1.16525,0.59986,1.4164,0.00041005,0.00041005,0.00041005
88,13023.9,0.90696,0.49904,1.17322,0.9567,0.89202,0.95125,0.6973,1.16559,0.59483,1.42842,0.000406516,0.000406516,0.000406516
89,13176.4,0.9338,0.50809,1.17317,0.95531,0.88143,0.95316,0.70117,1.14977,0.59252,1.40577,0.000402982,0.000402982,0.000402982
90,13320.4,0.92712,0.50135,1.17018,0.94796,0.89328,0.95165,0.6913,1.17009,0.59977,1.42864,0.000399447,0.000399447,0.000399447
91,13468,0.91064,0.50155,1.16746,0.9533,0.89407,0.95532,0.6978,1.15942,0.59288,1.42035,0.000395913,0.000395913,0.000395913
92,13613.2,0.89872,0.49355,1.15708,0.95907,0.89608,0.9566,0.69566,1.16336,0.57856,1.41799,0.000392379,0.000392379,0.000392379
93,13764.7,0.90272,0.49323,1.15152,0.95601,0.89793,0.95947,0.70472,1.15553,0.58008,1.42208,0.000388844,0.000388844,0.000388844
94,13909.7,0.89585,0.49006,1.15149,0.96073,0.89224,0.95769,0.70222,1.15991,0.58331,1.43166,0.00038531,0.00038531,0.00038531
95,14054.6,0.89519,0.48979,1.15193,0.95218,0.8977,0.95647,0.70425,1.15169,0.58336,1.42455,0.000381776,0.000381776,0.000381776
96,14198.4,0.89718,0.48457,1.15302,0.95247,0.89559,0.95313,0.70196,1.15116,0.59334,1.4191,0.000378242,0.000378242,0.000378242
97,14342.1,0.896,0.48714,1.14773,0.96591,0.88687,0.9588,0.70146,1.15008,0.58183,1.4166,0.000374707,0.000374707,0.000374707
98,14485.8,0.89331,0.49135,1.14897,0.95935,0.9,0.95778,0.70154,1.15158,0.58146,1.4292,0.000371173,0.000371173,0.000371173
99,14636.1,0.89962,0.48976,1.15214,0.95133,0.89746,0.95401,0.7046,1.14532,0.58045,1.42562,0.000367639,0.000367639,0.000367639
100,14781,0.88634,0.47974,1.14247,0.95124,0.90345,0.95857,0.70598,1.14313,0.58105,1.41972,0.000364104,0.000364104,0.000364104
101,14925.2,0.88571,0.48951,1.14566,0.9551,0.89395,0.95662,0.70432,1.14094,0.57318,1.42377,0.00036057,0.00036057,0.00036057
102,15069.4,0.88206,0.48488,1.13762,0.94687,0.89815,0.9536,0.70557,1.14133,0.57461,1.42406,0.000357036,0.000357036,0.000357036
103,15213.5,0.87732,0.48266,1.1285,0.95882,0.8919,0.95144,0.70096,1.15069,0.58026,1.42438,0.000353501,0.000353501,0.000353501
104,15357.7,0.86474,0.4726,1.13041,0.95542,0.90215,0.95503,0.70267,1.15332,0.58071,1.4337,0.000349967,0.000349967,0.000349967
105,15501.8,0.87793,0.4771,1.13204,0.96434,0.8864,0.95912,0.70726,1.14086,0.57429,1.42959,0.000346433,0.000346433,0.000346433
106,15646.1,0.86488,0.46885,1.13172,0.96389,0.88961,0.95548,0.70663,1.15358,0.58013,1.42616,0.000342899,0.000342899,0.000342899
107,15790.1,0.85689,0.47402,1.12193,0.96664,0.89017,0.95621,0.70662,1.14944,0.5712,1.43383,0.000339364,0.000339364,0.000339364
108,15934.3,0.8577,0.4681,1.12661,0.95863,0.89383,0.95405,0.70248,1.15872,0.56972,1.44061,0.00033583,0.00033583,0.00033583
109,16078.4,0.86449,0.47468,1.13752,0.95641,0.90095,0.95912,0.70439,1.15,0.56872,1.43143,0.000332296,0.000332296,0.000332296
110,16222.4,0.84703,0.46204,1.12216,0.96608,0.88801,0.95847,0.70622,1.13901,0.57014,1.43016,0.000328761,0.000328761,0.000328761
111,16366.5,0.84817,0.46038,1.11877,0.96413,0.89067,0.95972,0.70419,1.14405,0.56453,1.4324,0.000325227,0.000325227,0.000325227
112,16510.7,0.85805,0.47009,1.12691,0.95003,0.9048,0.95835,0.7077,1.15185,0.56208,1.43477,0.000321693,0.000321693,0.000321693
113,16654.7,0.85577,0.46564,1.11992,0.95982,0.89774,0.95713,0.70879,1.14135,0.56219,1.42998,0.000318158,0.000318158,0.000318158
114,16798.8,0.84755,0.46761,1.12458,0.94788,0.90106,0.95766,0.70664,1.14512,0.57217,1.42934,0.000314624,0.000314624,0.000314624
115,16942.7,0.82699,0.45822,1.10365,0.95522,0.89772,0.95707,0.70775,1.13672,0.56034,1.42871,0.00031109,0.00031109,0.00031109
116,17086.7,0.83459,0.46087,1.10241,0.95756,0.89228,0.95645,0.70529,1.14323,0.56806,1.43195,0.000307555,0.000307555,0.000307555
117,17230.8,0.83932,0.45728,1.10755,0.95018,0.89383,0.95333,0.70403,1.15203,0.56339,1.44828,0.000304021,0.000304021,0.000304021
118,17374.9,0.82977,0.45248,1.10186,0.9499,0.9,0.95618,0.70764,1.14404,0.55944,1.43551,0.000300487,0.000300487,0.000300487
119,17519.1,0.82475,0.45331,1.10755,0.95854,0.89643,0.95831,0.71299,1.13699,0.55984,1.43124,0.000296953,0.000296953,0.000296953
120,17663.1,0.82086,0.4462,1.10572,0.95507,0.89363,0.95716,0.71016,1.1365,0.56368,1.42779,0.000293418,0.000293418,0.000293418
121,17807.2,0.82545,0.45289,1.10865,0.95282,0.89835,0.95595,0.71078,1.13477,0.55945,1.43548,0.000289884,0.000289884,0.000289884
122,17951.3,0.82382,0.4509,1.0971,0.95919,0.89352,0.95975,0.70793,1.14231,0.56395,1.43699,0.00028635,0.00028635,0.00028635
123,18095.4,0.81815,0.44939,1.09809,0.94026,0.89878,0.9523,0.70779,1.14477,0.56622,1.44361,0.000282815,0.000282815,0.000282815
124,18239.4,0.81619,0.44217,1.10164,0.95735,0.88792,0.95596,0.71376,1.13086,0.55959,1.43452,0.000279281,0.000279281,0.000279281
125,18383.4,0.80708,0.44136,1.0933,0.95057,0.89032,0.95581,0.70917,1.13896,0.55873,1.43878,0.000275747,0.000275747,0.000275747
126,18527.3,0.80296,0.44385,1.093,0.95619,0.88922,0.95683,0.7107,1.13856,0.56606,1.44218,0.000272212,0.000272212,0.000272212
127,18671.4,0.80987,0.44439,1.09542,0.95089,0.90312,0.95776,0.71207,1.12762,0.56158,1.43716,0.000268678,0.000268678,0.000268678
128,18815.2,0.79908,0.44005,1.08599,0.96022,0.89448,0.9577,0.71138,1.13267,0.55936,1.43899,0.000265144,0.000265144,0.000265144
129,18959.2,0.79669,0.43977,1.08925,0.95904,0.89559,0.95843,0.7131,1.14016,0.55889,1.44338,0.00026161,0.00026161,0.00026161
130,19103.1,0.7862,0.43658,1.08829,0.95335,0.89676,0.95929,0.71289,1.13659,0.55898,1.44051,0.000258075,0.000258075,0.000258075
131,19247.3,0.79851,0.44011,1.08915,0.94104,0.90203,0.95761,0.70955,1.14026,0.56469,1.45275,0.000254541,0.000254541,0.000254541
132,19391.2,0.7827,0.43111,1.08042,0.95824,0.89859,0.95933,0.71283,1.13673,0.54918,1.45215,0.000251007,0.000251007,0.000251007
133,19535.3,0.79398,0.43618,1.08302,0.96342,0.89036,0.9589,0.71152,1.14321,0.55582,1.45706,0.000247472,0.000247472,0.000247472
134,19679.2,0.78642,0.43582,1.08279,0.95745,0.89082,0.95794,0.71119,1.14775,0.55704,1.46491,0.000243938,0.000243938,0.000243938
135,19823.3,0.78109,0.42685,1.07566,0.95257,0.89581,0.95669,0.71356,1.13629,0.55345,1.4567,0.000240404,0.000240404,0.000240404
136,19967.3,0.77828,0.42833,1.07399,0.9538,0.89768,0.95848,0.71359,1.1321,0.55464,1.45656,0.000236869,0.000236869,0.000236869
137,20111.5,0.76719,0.42197,1.07185,0.95698,0.8877,0.95638,0.71269,1.13943,0.55165,1.4641,0.000233335,0.000233335,0.000233335
138,20255.4,0.76626,0.4213,1.06583,0.95976,0.89146,0.95929,0.71357,1.13869,0.54772,1.46943,0.000229801,0.000229801,0.000229801
139,20399.5,0.76698,0.42395,1.06056,0.96269,0.89419,0.959,0.71491,1.13822,0.54876,1.45932,0.000226267,0.000226267,0.000226267
140,20543.4,0.77523,0.4286,1.06761,0.95236,0.89529,0.95749,0.71389,1.14677,0.55396,1.47124,0.000222732,0.000222732,0.000222732
141,20687.5,0.76764,0.42633,1.06785,0.95906,0.89266,0.95787,0.71182,1.14153,0.55238,1.4714,0.000219198,0.000219198,0.000219198
142,20831.4,0.76292,0.42707,1.06646,0.95154,0.90397,0.95757,0.71455,1.13396,0.54566,1.46669,0.000215664,0.000215664,0.000215664
143,20975.4,0.75615,0.41467,1.06207,0.95073,0.90136,0.95688,0.7149,1.14304,0.54924,1.4701,0.000212129,0.000212129,0.000212129
144,21119.3,0.76241,0.42545,1.0653,0.96032,0.88479,0.95596,0.71702,1.13808,0.55204,1.46413,0.000208595,0.000208595,0.000208595
145,21263.5,0.75229,0.41775,1.05361,0.95225,0.89907,0.95736,0.71682,1.13781,0.54757,1.46419,0.000205061,0.000205061,0.000205061
146,21407.3,0.75496,0.41635,1.05718,0.94168,0.90923,0.95772,0.71703,1.13165,0.54745,1.46025,0.000201527,0.000201527,0.000201527
147,21551.3,0.75737,0.42082,1.06218,0.96198,0.88736,0.95747,0.71469,1.1335,0.55681,1.46544,0.000197992,0.000197992,0.000197992
148,21695.2,0.754,0.42191,1.05951,0.95159,0.90096,0.9587,0.71302,1.13594,0.55172,1.46722,0.000194458,0.000194458,0.000194458
149,21839.1,0.74101,0.41096,1.05204,0.95546,0.89636,0.95898,0.7168,1.13008,0.54776,1.46356,0.000190924,0.000190924,0.000190924
150,21983.1,0.744,0.41916,1.05585,0.96009,0.88902,0.9567,0.71648,1.12999,0.54634,1.46132,0.000187389,0.000187389,0.000187389
151,22127.2,0.7434,0.41469,1.05874,0.95691,0.89448,0.95633,0.71405,1.13198,0.55177,1.46788,0.000183855,0.000183855,0.000183855
152,22271.1,0.7358,0.40859,1.0449,0.95911,0.89471,0.95639,0.71549,1.13379,0.54995,1.47805,0.000180321,0.000180321,0.000180321
153,22415.1,0.73224,0.4116,1.04575,0.95817,0.8954,0.95751,0.71354,1.13737,0.54654,1.47878,0.000176786,0.000176786,0.000176786
154,22558.9,0.73272,0.40978,1.05023,0.95925,0.89318,0.95836,0.7149,1.13249,0.54518,1.47498,0.000173252,0.000173252,0.000173252
155,22702.9,0.72231,0.40488,1.0408,0.95133,0.89965,0.95811,0.71462,1.13535,0.54697,1.47351,0.000169718,0.000169718,0.000169718
156,22846.7,0.73224,0.40695,1.0464,0.95215,0.89703,0.95714,0.71614,1.13089,0.54934,1.47312,0.000166183,0.000166183,0.000166183
157,22990.8,0.73551,0.40592,1.03975,0.95249,0.89938,0.95654,0.71528,1.13429,0.54892,1.48046,0.000162649,0.000162649,0.000162649
158,23135.2,0.72098,0.40183,1.03914,0.95453,0.89632,0.95609,0.71523,1.13536,0.54934,1.48278,0.000159115,0.000159115,0.000159115
159,23279.4,0.72512,0.40368,1.04256,0.94414,0.90056,0.95391,0.71329,1.13661,0.55013,1.48678,0.000155581,0.000155581,0.000155581
160,23423.8,0.72019,0.40676,1.03188,0.95306,0.90264,0.95811,0.71576,1.13335,0.54475,1.4842,0.000152046,0.000152046,0.000152046
